,Unnamed: 0,Unnamed: 0.1,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,ALPHA_M_NORM,ALPHA_M_ERR_NORM,M_H_NORM,M_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM,G_NORM,G_ERR_NORM,BP_NORM,BP_ERR_NORM,RP_NORM,RP_ERR_NORM,J_NORM,J_ERR_NORM,H_NORM,H_ERR_NORM,K_NORM,K_ERR_NORM
1369,2672,2923,2M19262500+4838334,2129339751934693376,2.8334777,4742.648,0.22352679,-0.38665274,0.055083305,-0.020338684,11.584750999999999,12.125823,10.917481,10.065,9.517999999999999,9.418,0.062099315,73.15263,0.01655047,0.03696401,0.039053272,0.05712799,0.00022872151241748462,0.0013353962099671435,0.0007536215603398678,0.022000000000000002,0.018000000000000002,0.016,12.6196,16.0264,10.0925,2.96695,1.1010455894131967,0.1004186099674238,0.8915966000000001,0.90465,0.8787594000000001,0.012945299999999977,-0.049831596320169015,0.006305301934983932,0.5780758567791777,0.2838106149342111,-0.29705547958899453,0.5342117882578129,3.3783681539901127,0.2926088760320476,-1.875780755983645,0.17530531464736154,1.43555256143675,0.4296453627591303,-2.836283647776826,0.4738397027711029,-0.3947207418377882,0.0002499635642869172,-0.4403972114931063,0.001429321452219244,-0.358170389308145,0.0008411315947935249,-0.26031437366024684,0.025263817626475237,-0.27369283701617525,0.02096315556384985,-0.2550809707989133,0.018642503694108872
1370,428,535,2M19522249+3947374,2073458825822003968,3.0176703999999996,4854.5557,0.011929132,0.2068308,-0.12411643,0.35581356,13.076069,13.707365,12.329211,11.297,10.748,10.64,0.05281809,79.72403,0.0106181465,0.028468465,0.03088874,0.045226592999999995,0.00024400746019392905,0.001174438673187117,0.0010289028134946587,0.021,0.024,0.018000000000000002,3.0681,3.934,2.5212,0.7064000000000001,0.486869510668216,0.0966135285648703,1.5851054999999998,1.6087361,1.5618878999999999,0.023424100000000062,0.20005817289007846,0.006417473529091207,1.4198861642421918,0.24139291395646645,0.5201729992342373,0.582200757968914,-0.36263454130455863,0.18772662727454992,0.9388710828652781,0.13501438870816232,-0.5359169520630411,0.33982309862468013,0.28365576359828737,0.3751253174576883,1.2351004272563189,0.0002666691638141247,1.2523827225171489,0.00125704294903125,1.2174887595388537,0.001148378324011869,1.1544594134223676,0.02411546227981727,1.1587894598468982,0.02795087408513313,1.1687402488386534,0.020972816655872483
1371,1328,1489,2M19115856+4307490,2102970920482683264,2.6803033,5010.6445,0.015041328999999999,-0.16052456,-0.13103943,0.2870606,12.824639999999999,13.318117,12.190925,11.334000000000001,10.897,10.84,0.047958586,86.56309499999998,0.013970993000000001,0.037993338,0.043956472999999996,0.06266902,0.00025880900878960666,0.0018332124129383234,0.0006787009019926238,0.021,0.017,0.011000000000000001,2.9042,3.6715,2.3654,0.6530499999999999,0.463026521086427,0.09546947003443174,1.5757428999999998,1.5976655,1.5541033000000002,0.02178110000000004,0.19748535895312253,0.006002987253106773,-0.12197245544743657,0.21918367028742985,1.6600428436269317,0.6321444051578313,-0.3076115440023485,0.24700425781150656,-0.8033464679955397,0.18018700007368135,-0.6120804767577572,0.4835880278532594,-0.28660554142983485,0.5197989603652484,0.9603204630071348,0.00028284537655789266,0.8357569207656799,0.0019621516136786236,1.063145081174395,0.0007575111994187186,1.1969485612487132,0.02411546227981727,1.332317803125434,0.019798535810302633,1.4017715450150134,0.01281672128969985
1372,2015,2225,2M19150855+4550474,2127334002210073216,2.9118822,4653.4927,-0.012941755,0.33310845,-0.00944972,0.3363697,11.375408,11.980531,10.666017,9.689,9.183,9.055,0.047547083,67.875244,0.009355561,0.023937612999999996,0.022877743,0.034947794,0.00030092900523803767,0.0012746923471884664,0.0004708838554823291,0.022000000000000002,0.021,0.011000000000000001,7.5052,9.4654,6.0954,1.6850000000000005,0.8753622698956188,0.0955683804532202,0.7787824999999999,0.7897719999999998,0.7667255000000001,0.011523249999999905,-0.10858381606164136,0.0064309125568872616,0.9364055639363235,0.21730299061363195,-0.9481299829344241,0.4956726159493566,-0.802346663739152,0.1654043775711058,1.5377547853147524,0.11352639442722182,0.7255911800685251,0.2516899529019016,0.12238152931973272,0.2898693323792021,-0.6235060532211855,0.00032887718322409084,-0.5959083406140657,0.0013643479764413912,-0.6388342217730371,0.0005255625756589997,-0.6920959840036411,0.025263817626475237,-0.6638404544544908,0.024457014824491488,-0.6780327733590078,0.01281672128969985
1373,669,800,2M19515573+4040059,2073791256281371648,2.978845,4859.9277,0.01987161,0.06809578,-0.13612726,0.30242273,12.275189,12.901267,11.541217,10.519,9.976,9.879,0.053638652,77.4393,0.0115398625,0.030969862,0.032678757,0.04815456,0.00013622973143112557,0.00142741973942484,0.0007115644656718878,0.019,0.022000000000000002,0.017,3.2491,4.1142,2.6002,0.7570000000000001,0.5117630781593421,0.09963932294759544,1.2793329000000002,1.2987511999999999,1.2603753999999998,0.019187900000000008,0.10698356857637137,0.006513021905342198,1.2424436167830684,0.2451431035650257,0.5594031093002887,0.565516057788124,-0.2222131780146179,0.20402237493493386,0.28090712457969164,0.14687750064171518,-0.6680543415342293,0.35951600689904983,-0.15918661573104811,0.39941090868894985,0.35984030305471393,0.00014888179459139706,0.3895877292474176,0.0015278174669458781,0.33799342024837786,0.0007941908582592534,0.26103895372247005,0.021818751586501338,0.2597030101084509,0.025621634578038704,0.282056166887599,0.01980766017499068
1374,31,36,2M19231796+3728151,2052537589128801920,2.992054,4680.5186,0.0035991706,0.3076688,0.023396313,0.38756636,11.795376,12.430804,11.057385,10.061,9.521,9.369,0.04814489,69.03759000000001,0.009545843,0.024636393,0.02383171,0.036249302000000004,0.0002182313518261925,0.0010692341855911278,0.0007531689951356668,0.02,0.022000000000000002,0.017,6.5666,8.2413,5.3088,1.4662500000000005,0.8173405623385147,0.09549967964092043,0.8796413000000001,0.8922382999999999,0.8664630999999999,0.012887599999999964,-0.0556943882914299,0.00636539477310415,1.3028123086545638,0.22003512980521528,-0.7507679144991933,0.5041608813095264,-0.5099065307190189,0.16876852385511645,1.4171048383049787,0.11684042468988227,1.0869474772690095,0.26218504017077987,0.5470246886059813,0.3006644988794451,-0.16453436727485365,0.00023849915106392605,-0.11396533864092688,0.0011444388919968358,-0.20202082985960326,0.0008406264780187528,-0.2649077950468782,0.022967106933159304,-0.2701989777555314,0.025621634578038704,-0.3121736383621211,0.01980766017499068
1375,1341,1502,2M19343332+4306202,2078201569212490112,2.877593,4652.5146,0.074257374,0.110860914,0.04746845400000002,0.25021246,10.106139,10.691085000000001,9.41555,8.482000000000001,7.941,7.836,0.05143905,68.245346,0.011157875,0.026925199,0.026264235,0.039722662,0.0004341992416345697,0.0008199685750276409,0.0006026697549277318,0.021,0.017,0.026000000000000002,10.2695,13.0206,8.2224,2.3991,1.0115492992421582,0.09981619850027099,0.415049,0.4212182,0.4087897,0.006214250000000021,-0.3819006281712865,0.006503591640675988,0.7796946736857285,0.23509032929158127,-0.955272754836058,0.498375360215117,0.739315846610314,0.19726891518223247,0.4837248186503994,0.12769530369237062,1.351777623955155,0.2889465132183046,-0.5922370139403849,0.32947377205739226,-2.0106558666579613,0.00047452462561346965,-1.976047669692766,0.0008776411567481444,-2.034504618294511,0.0006726513661148087,-2.078160887419804,0.02411546227981727,-2.11029818836013,0.019798535810302633,-2.0983585235539266,0.03029406850292692
1376,722,859,2M19280384+4051558,2053577078595004544,3.1538209999999998,4753.206,0.0005209333999999999,0.35579553,0.005474359,0.37760237,12.546451,13.161732999999998,11.821457,10.864,10.341,10.208,0.049427862999999995,74.65861,0.009433021,0.024841586000000002,0.025615497999999997,0.038213618,0.00017771581865222433,0.0013166521667173914,0.0009004697175929444,0.022000000000000002,0.019,0.018000000000000002,5.6371,6.9992,4.4648,1.2672,0.7510557391066839,0.0976231970070766,1.1239808999999998,1.1393437,1.1078985000000001,0.015722599999999944,0.05075893125521015,0.006077390435324986,2.0421311199178196,0.2258986623751637,-0.21995356185307735,0.5452095099922263,-0.5643291258025445,0.16677385430121933,1.6453504086746062,0.11781357190601052,0.8897787374081743,0.2818094199755087,0.4643798404323587,0.31695722875824034,0.6562952174128893,0.00019422081898178944,0.668373634580258,0.0014092590445845426,0.6507747026981978,0.0010050316624177396,0.6572215483194688,0.025263817626475237,0.6847892201531821,0.02212777531739706,0.6653926490977133,0.020972816655872483
1377,951,1092,2M19482558+4139121,2076940257580519168,2.8984702,4839.1704,-0.018198933,-0.017958026000000002,-0.1315829,0.33949712,10.583839999999999,11.143696,9.908418,8.99,8.471,8.368,0.055154648,76.664986,0.0123548005,0.03204612,0.03383717,0.04978556,0.0002209850778256417,0.0010018319444482504,0.0009067345404267787,0.021,0.036000000000000004,0.018000000000000002,2.1069,2.6225,1.7179,0.4523,0.3236439231359492,0.09185880858978236,0.7152104,0.7252459,0.7043523,0.010446799999999996,-0.14556617901391047,0.006347672606855134,0.8751091073248847,0.25207161408076656,0.407818752696787,0.559861474123626,-0.8952924801226388,0.21843030970752975,-0.12721119205946652,0.15198175603315509,-0.618059472968336,0.3722603109770766,0.14832145409636846,0.41293899807595036,-1.488589344093746,0.00024150862384423658,-1.4916022242273184,0.0010722959066610156,-1.484405113875166,0.0010120239523131423,-1.4947963713175587,0.02411546227981727,-1.4930497189801066,0.0419263111276997,-1.4784952757248069,0.020972816655872483
1378,1914,2123,2M19041176+4524471,2106442250488667904,3.089035,4955.3804,0.011896318000000001,-0.10073736,-0.14669970000000002,0.3263203,11.394785,11.896703,10.768011999999999,9.943,9.511000000000001,9.392000000000001,0.057655899999999996,82.435715,0.013190933,0.035766687,0.039686833,0.057391795999999995,0.00036006060092796943,0.0015160640554101599,0.0007413768224850957,0.021,0.017,0.013999999999999999,4.3362,5.4327,3.4562,0.98825,0.6371093051016494,0.09820842879414153,0.8041046000000001,0.8156177,0.7922459000000001,0.011685900000000004,-0.09468745343060953,0.006313320828917114,1.7460416300558501,0.26350301019560973,1.2564656422678175,0.6020033828785296,-0.3632146860169514,0.2332129588431051,-0.519800015435746,0.16962689703927403,-0.784367254292196,0.4366154969306035,0.03902826047502253,0.47602780280103973,-0.6023294531978926,0.0003935005073023656,-0.6856323923991018,0.0016226965908414269,-0.5249956301962855,0.0008274650061213958,-0.4004137259525185,0.02411546227981727,-0.2818451752910033,0.019798535810302633,-0.2853750393018379,0.01631219073234526
