,Unnamed: 0,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
1346,1507,2M19500402+4307043,2078541898116509312,2.6958048,5089.486,-0.019978728,0.02473763,-0.23338011,0.42268988,12.370224,12.971469,11.639727,10.646,10.128,10.015,0.046281263,89.78820999999998,0.012022605,0.036043532,0.04187869,0.059787173,0.0003023636145949027,0.0009143320894045016,0.0006152499697498204,0.027000000000000003,0.018000000000000002,0.015,0.9649,1.1087,0.8385,0.1351,-0.015517693597737256,0.06065549029326681,1.7297802999999998,1.7518761000000003,1.7115909,0.020142600000000014,0.23799094673762086,0.005051709494377221
569,692,2M19223798+4018088,2101127039485539456,2.6579735,4628.132000000001,0.027249534,0.104901776,-0.0014746562,0.30192477,11.395867,12.01522,10.670819,9.691,9.119,9.006,0.05138638,67.25971,0.01121102,0.026641296,0.025775032000000003,0.03908263,0.0002574320224135729,0.0012749402990708258,0.0006835555825723817,0.018000000000000002,0.016,0.018000000000000002,9.0748,11.7355,6.8391,2.4482,0.9578370623744292,0.11725132191478015,0.9459667,0.9626589,0.9300364,0.01631125000000003,-0.02412415140031168,0.007486241959877141
2968,3228,2M19112957+5032435,2132935842153316096,2.3888705000000003,4745.319,-0.011928167,0.11774747,-0.027379423,0.3335316,12.264219,12.855934,11.563485,10.632,10.068,9.945,0.03934571,76.87643,0.01162691,0.027910395,0.030319309,0.044332303,0.00016788610873286203,0.001618920448046568,0.0009164039831488502,0.026,0.03,0.02,5.6163,6.1799,4.8417,0.6690999999999998,0.7494502979936808,0.052991785650761625,2.0405978,2.0590447,2.0206916,0.01917654999999991,0.3097574140970307,0.004082869376162368
1758,1951,2M18543545+4442464,2106692217586237696,2.4591746,4901.4976,0.05178761,-0.19409505,-0.11760959,0.3373804,10.618103,11.143803,9.969076,9.129,8.642000000000001,8.531,0.045773447,80.02412,0.0142050125,0.03647009,0.040046364,0.05802522,0.0002662168032518953,0.0010704524559024264,0.001096060465947124,0.022,0.023,0.014,4.9451,5.686,4.4319999999999995,0.6269999999999998,0.6941750783415038,0.05410355181702503,1.0627345,1.0727236,1.0528098,0.00995690000000002,0.026424779493256632,0.004068958176476924
1816,2020,2M19264679+4454369,2126624817210649216,2.5718,4836.8135,-0.006088713000000001,0.19708486,-0.14902346,0.44672656,10.730651,11.287086,10.060085,9.201,8.664,8.573,0.038363248,76.09264,0.010418524,0.028539468,0.02950541,0.043852028,0.0002559543484004223,0.00090584067760191,0.0004980232569529175,0.021,0.026,0.016,1.6211,1.6638,1.5667,0.04854999999999998,0.2098098057853794,0.0130576382678122,1.0667443,1.0751989000000002,1.059083,0.008057950000000005,0.02806033094530751,0.003279407217653641
2065,2275,2M18564935+4608330,2107247574037293184,3.1787806,5010.3267,0.027778197,-0.06151501,-0.23604469,0.3215053,12.80691,13.322010999999998,12.158737,11.32,10.86,10.744000000000002,0.06713355,100.56949,0.014463413,0.034928292,0.047985844000000014,0.064955495,0.00017315573227705272,0.0016247031387628395,0.0007587586311796901,0.021,0.017,0.016,7.5506,9.658,6.0841,1.7869499999999996,0.8779814637266253,0.10034542871846848,1.1735121000000002,1.1898429,1.1556597,0.017091600000000085,0.0694875719372864,0.006329827275510687
127,177,2M19380803+3813394,2052113143278832256,3.1690202000000003,4974.7065,0.064418904,-0.19971451,-0.09411441,0.2294466,12.137451,12.621792,11.501646,10.679,10.161,10.095,0.059867963,83.653076,0.014267233999999997,0.038124256,0.04300169,0.06176427,0.00014465333227242638,0.001582631531409362,0.0010696248579111778,0.021,0.024,0.02,6.9732,8.8109,5.559,1.62595,0.8434321214863981,0.10001179908630943,0.9464138,0.9604811,0.9326525999999999,0.01391424999999998,-0.023918935729919873,0.0063844590610422644
3013,3274,2M19382869+5054183,2135249489498137856,2.578269,4694.803,0.01410035,-0.1088915,-0.042033046,0.23861095,11.340397,11.927434,10.641714,9.691,9.142,9.03,0.055915933,70.457695,0.013280438,0.031006072000000006,0.031353503,0.04671539,0.0005434283218752611,0.0017426350633542589,0.0010789201145688931,0.02,0.017,0.015,6.722,8.1289,5.6885,1.2201999999999995,0.8274985081334587,0.07751700928256222,1.1850201,1.2072048999999998,1.1627867,0.022209099999999926,0.07372571679764472,0.00814046695344958
2006,2216,2M19584267+4546273,2085248815966744320,2.7560406000000004,4640.0474,-0.005046984,0.22071958,-0.053875253,0.37811476,12.052485,12.778109,11.245203,10.078,9.479,9.333,0.04939397,67.528625,0.010227458,0.025218042000000003,0.024237948,0.036895078,0.00017994318491254546,0.0014294252826196894,0.0012209099957993794,0.032,0.032,0.024,5.2099,6.4791,4.121,1.1790499999999997,0.7168293874329247,0.098256034239389,1.1026366,1.1183887,1.0851753999999998,0.016606649999999945,0.042432403991453684,0.006546415136904588
980,1121,2M19343102+4143536,2077615254636725504,2.5877635,4631.351,-0.008299328,0.11882923,-0.09571546,0.32091653,12.913812,13.54689,12.17312,11.195,10.587,10.465,0.055871785,73.89506999999998,0.011872326,0.02600038,0.028064113,0.041137077,0.00030155882897120456,0.0016946107208937187,0.0007602205631895843,0.02,0.02,0.018000000000000002,6.4571,7.3285,5.4929,0.9178000000000002,0.8100375123020601,0.0626066997818786,2.1863351000000004,2.2086626000000003,2.1652097,0.021726450000000112,0.3397167271138903,0.00431470657708405
