,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
26,2M19232346+3722342,1865747,290.84778,37.37619,0.04141,-0.00815,4.1009,3.2908,5.1858,1.3246,1.2513,1.4189,778.6727,766.4784,790.4091,0.2764,0.195,0.3429,1
27,2M19251940+3718402,1867706,291.33087,37.31119,0.17732,-0.008440000000000001,2.7451,2.1627,3.3319,1.5323,1.4427,1.6291,889.4924,876.4356,902.5773,0.622,0.545,0.684,1
28,2M19273132+3720509,1870196,291.8805,37.34748,0.02675,0.01879,5.9462,4.7315,7.5264,1.1948,1.1204,1.2704,1058.089,1041.1179,1074.0982,0.3681,0.285,0.4335,1
29,2M19282389+3723239,1871314,292.09958,37.39,0.35328000000000004,0.03267,7.1553,4.4157,7.5645,1.2005,1.1802,1.3705,2291.054,2225.3581,2325.3425,0.4727,0.375,0.5553,1
30,2M19285600+3723192,1871927,292.23334,37.38868,0.19937,0.02025,7.1409,5.7332,9.2225,1.1808,1.0939,1.2472,1661.8183,1634.9332,1687.7039,0.4392,0.355,0.5066,1
31,2M19290894+3719028,1872166,292.28729,37.31746,0.08632999999999999,-0.02113,1.0819,0.9922,1.161,2.0598,1.9951,2.1526,1397.1158,1382.8337,1410.8735,0.3799,0.345,0.4412,2
32,2M19292379+3718156,1872469,292.34915,37.30434,0.1455,0.03026,8.4822,5.6416,9.4383,1.1094,1.0814,1.2462,2317.4413,2282.9684,2372.2102,0.3902,0.3348,0.525,1
33,2M19050006+3728563,1995859,286.25025,37.48231,-0.10687,0.01722,2.1109999999999998,1.9503,2.2639,1.595,1.5542,1.6291,1156.0313,1146.8323,1166.7558,0.2389,0.205,0.2942,2
34,2M19051489+3729091,1996078,286.31207,37.48587,-0.05587,0.01053,5.7864,4.6238,7.3551,1.1935,1.1117,1.2605,1862.7205,1834.4253,1890.6259,0.2789,0.195,0.3422,1
35,2M19053929+3725383,1996415,286.41372,37.42732,0.17160999999999998,0.05036,9.1924,7.1845,11.3507,1.0859,1.0254,1.1640000000000001,1470.4057,1449.3054,1494.4782,0.3177,0.255,0.4008,1
36,2M19231796+3728151,2011891,290.82484,37.47087,0.30767,0.0036,6.5666,5.3088,8.2413,1.1916,1.1481,1.2978,879.6413,866.4631,892.2383,0.2731,0.215,0.3511,1
37,2M19244585+3729385,2013502,291.19104,37.49404000000001,0.04247,-0.01739,1.4514,1.3515,1.4958,1.86,1.8364,1.9494,1572.1208,1558.5475,1586.6684,0.5716,0.535,0.6316,2
38,2M19265758+3728035,2015820,291.73994,37.46765,0.0368,-0.00884,2.5180000000000002,2.1135,2.7905,1.5385,1.4927,1.6443,621.1503,615.8853,626.9978,0.1319,0.1061,0.2048,2
