,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
0,2M19252021+3647118,1027337,291.33421,36.78664000000001,0.27517,0.02257,6.0138,4.8417,7.5603,1.2304,1.1658,1.3181,1232.9189999999999,1214.5069,1251.6686,0.2401,0.175,0.3141,1
1,2M19241746+3651460,1161447,291.07278,36.8628,0.05792000000000001,-0.0056,4.9287,4.1697,6.0934,1.2459,1.1694,1.3278,2255.7231,2238.4626,2272.4139999999998,0.3725,0.345,0.4121,2
2,2M19261297+3648265,1163621,291.55407,36.80738,0.0281,0.00514,1.8968,1.7069,1.9719,1.6968,1.6748,1.7767,1634.0474,1620.3166,1646.2237,0.3717,0.335,0.4202,2
3,2M19250718+3654252,1294122,291.27992,36.90702,-0.00896,0.00458,4.1563,3.281,5.1864,1.3129,1.2397,1.4059,1268.5159,1249.4245,1286.7348,0.2381,0.155,0.2977,1
4,2M19252149+3654097,1294385,291.33955,36.9027,0.10649000000000003,-0.01105,4.0969,3.2734,5.157,1.3546,1.2705,1.4399,638.8773,630.2312,649.1202,0.0822,0.015,0.1534,1
5,2M19264481+3658152,1296068,291.6867299999999,36.9709,0.0434,0.06081,13.5655,10.5245,16.4069,0.9604,0.9134,1.0326,1603.4676,1583.0692,1626.7709,0.3691,0.295,0.4177,1
6,2M19270812+3657217,1296507,291.78385,36.95604,0.02192,-0.007090000000000002,2.906,2.3692,3.7587,1.4407,1.3614,1.5447,1602.2674,1579.4288,1627.1003,0.2987,0.225,0.3645,1
7,2M19225688+3702125,1429505,290.737,37.03682,-0.05295,0.01624,7.7573,5.9566,10.1207,1.1089,1.0222,1.1747,1229.1167,1207.2855,1248.7865,0.3909,0.3063,0.475,1
8,2M19243068+3701290,1431059,291.1278700000001,37.02473,0.10757,0.03383,7.7268,6.0954,9.6702,1.1272,1.0567,1.1974,1254.0539,1235.4921,1272.0456,0.4455,0.3743,0.5149,1
9,2M19264298+3704199,1433593,291.67912,37.07222,0.15737,-0.006690000000000001,2.467,2.0184,3.1391,1.565,1.47,1.6669999999999998,1159.0739,1141.5635,1177.1031,0.2423,0.1892,0.3348,1
10,2M19265417+3702187,1433803,291.72573,37.03853,0.26676,-0.00594,7.2086,5.7637,9.0134,1.1751,1.1065,1.2523,387.0614,381.4433,393.0844,0.1337,0.065,0.2084,1
11,2M19222920+3710285,1569842,290.62167,37.1746,-0.24068,0.11591,9.8244,7.8523,12.5843,1.0016,0.9332,1.0584,619.0364,609.5228,628.7579,0.0722,-0.0065,0.1449,1
12,2M19243591+3706204,1572175,291.14964,37.10568,0.01063,-0.006640000000000001,2.7004,2.1135,3.3432,1.5066,1.4124,1.6069,1387.0519,1366.1549,1409.1049,0.4386,0.3575,0.5049,1
13,2M19274289+3709135,1575886,291.92873,37.15377,-0.03304,-0.01978,0.956,0.9175,1.0112,2.0382,1.9983,2.0604,1180.2525,1173.5456,1188.5941,0.3821,0.3683,0.4148,2
14,2M19281017+3706444,1576469,292.04238,37.11235,0.11471,-0.0107,0.7339,0.6683,0.912,2.3565,2.1582,2.4207,853.0629,838.3395,863.9521,0.1674,0.068,0.2249,2
15,2M19222314+3712209,1717618,290.59644,37.20582,0.08027000000000001,-0.00563,2.1612,1.7664,2.6608,1.6233,1.5204,1.7081,1060.1939,1045.9236,1074.6328,0.2017,0.133,0.2649,1
16,2M19240872+3712254,1719422,291.0363700000001,37.20706,-0.24268,0.023,4.048,3.2734,5.0562,1.2731,1.1967,1.3516,1473.475,1452.5131,1494.4599,0.4464,0.375,0.5048,1
17,2M19272602+3717271,1723047,291.85843,37.29089000000001,-0.08555,-0.01685,2.8433,2.3345,3.6714,1.4331,1.3445,1.5204,1247.6347,1230.099,1266.1487,0.2817,0.2186,0.3549,1
18,2M19280136+3717594,1723752,292.00571,37.29984,-0.12008,0.02248,4.6124,3.6728,5.8777,1.2391,1.1673,1.3242,992.3769,977.5745,1008.0557,0.2414,0.175,0.3227,1
19,2M19280451+3713548,1723843,292.01882,37.23191,-0.19801,0.03615,2.8664,2.3174,3.6461,1.4240000000000002,1.3243,1.5011,1206.7353,1187.1349,1222.7248,0.5187,0.445,0.5776,1
20,2M19291057+3713306,1725190,292.29406,37.22518,0.00515,-0.031560000000000005,0.8943,0.8222,0.9895,2.0902,2.0231,2.1476,485.9444,481.3933,491.0849,0.1287,0.0752,0.1649,2
21,2M19300260+3715187,1726245,292.51087,37.25521,0.13602,0.00093,2.1252,2.0399,2.2126,1.6575,1.6292,1.6828,1425.5797,1417.4245,1435.1470000000002,0.4321,0.4063,0.4648,2
22,2M19300513+3717470,1726291,292.52139,37.29641,-0.34123000000000003,0.18947,10.1218,8.0353,12.8233,0.9791,0.9228,1.0471,1169.8991,1152.126,1187.8505,0.4291,0.3483,0.495,1
23,2M19215572+3722208,1864183,290.48217,37.37245,0.1998,0.0076700000000000015,7.662999999999999,6.8391,9.1909,1.1392,1.0964,1.1982,954.7203,945.1482,964.6383,0.2428,0.205,0.2924,1
24,2M19223280+3720441,1864855,290.6366700000001,37.3456,0.00194,-0.00256,4.1705,3.3497,5.2743,1.3062,1.2359,1.3987,836.2560000000001,823.6069,848.1799,0.3033,0.2338,0.3749,1
25,2M19225594+3722386,1865262,290.7331200000001,37.3774,-0.25379,0.08539,6.2026,4.9545,7.9197,1.1571,1.0526,1.1966,1658.4877,1631.8113,1680.7597,0.42,0.345,0.4858,1
